title,authors,publication_date,description,cite_by
"Some fixed point theorems for (           α           ,           θ           ,           k           )                            <svg aria-label=""(\alpha,\theta,k)"" class=""gs_fsvg"" height=""17px"" style=""vertical-align:-5px;"" width=""57px""><g transform=""matrix(0.01700, 0.00000, 0.00000, 0.01700, 0.00000, 12.75000)""><path d=""M 635 -508  Q 521 -418 438 -302  T 303 -53  T 225 223  T 199 512  Q 199 659 225 803  T 304 1080  T 441 1329  T 635 1532  Q 635 1536 645 1536  H 664  Q 670 1536 675 1530  T 680 1518  Q 680 1509 676 1505  Q 576 1407 509 1295  T 402 1056  T 344 794  T 326 512  Q 326 -139 674 -477  Q 680 -483 680 -494  Q 680 -499 674 -506  T 664 -512  H 645  Q 635 -512 635 -508  Z "" transform=""scale(0.48828, -0.48828)""></path><path d=""M 412 -23  Q 315 -23 239 23  T 123 147  T 82 324  Q 82 463 159 599  T 365 820  T 635 905  Q 739 905 818 850  T 938 705  T 979 512  L 981 375  Q 1051 472 1099 576  T 1174 793  Q 1178 805 1190 805  H 1214  Q 1233 805 1233 786  Q 1233 784 1231 780  Q 1207 686 1171 599  T 1086 432  T 981 285  Q 981 31 1040 31  Q 1078 31 1102 53  T 1145 109  T 1169 143  H 1194  Q 1210 143 1210 123  Q 1210 72 1151 24  T 1036 -23  Q 962 -23 913 25  T 846 150  Q 750 68 638 22  T 412 -23  Z M 416 31  Q 635 31 836 211  Q 835 223 833 240  T 831 260  V 481  Q 831 852 631 852  Q 511 852 421 749  T 285 504  T 240 244  Q 240 155 285 93  T 416 31  Z "" transform=""matrix(0.48828, 0.00000, 0.00000, -0.48828, 388.89001, 0.00000)""></path><path d=""M 203 -369  Q 203 -360 211 -352  Q 285 -281 326 -188  T 367 8  V 33  Q 334 0 285 0  Q 238 0 205 33  T 172 113  Q 172 161 205 193  T 285 225  Q 358 225 389 157  T 420 8  Q 420 -106 374 -209  T 246 -393  Q 238 -397 233 -397  Q 223 -397 213 -388  T 203 -369  Z "" transform=""matrix(0.48828, 0.00000, 0.00000, -0.48828, 1032.31201, 0.00000)""></path><path d=""M 330 -23  Q 237 -23 181 45  T 103 209  T 82 399  V 401  Q 82 503 101 613  T 158 832  T 238 1028  Q 268 1088 315 1162  T 421 1300  T 547 1404  T 684 1444  H 686  Q 760 1444 809 1403  T 886 1298  T 925 1161  T 936 1022  Q 936 867 894 705  T 778 393  Q 750 336 700 259  T 595 121  T 471 18  T 332 -23  H 330  Z M 334 31  Q 402 31 464 103  T 574 279  T 656 491  T 709 676  H 291  Q 259 547 241 453  T 223 270  Q 223 31 334 31  Z M 307 748  H 727  Q 749 838 762 898  T 784 1026  T 793 1151  Q 793 1391 684 1391  Q 554 1391 459 1181  T 307 748  Z "" transform=""matrix(0.48828, 0.00000, 0.00000, -0.48828, 1476.75916, 0.00000)""></path><path d=""M 203 -369  Q 203 -360 211 -352  Q 285 -281 326 -188  T 367 8  V 33  Q 334 0 285 0  Q 238 0 205 33  T 172 113  Q 172 161 205 193  T 285 225  Q 358 225 389 157  T 420 8  Q 420 -106 374 -209  T 246 -393  Q 238 -397 233 -397  Q 223 -397 213 -388  T 203 -369  Z "" transform=""matrix(0.48828, 0.00000, 0.00000, -0.48828, 1973.97827, 0.00000)""></path><path d=""M 109 37  Q 109 49 111 55  L 408 1239  Q 416 1274 418 1294  Q 418 1327 285 1327  Q 264 1327 264 1354  Q 265 1359 268 1372  T 277 1392  T 293 1399  L 569 1421  H 575  Q 575 1419 582 1415  T 590 1411  Q 594 1401 594 1395  L 379 539  Q 453 570 565 686  T 741 854  T 901 905  Q 958 905 998 866  T 1038 770  Q 1038 734 1023 703  T 981 654  T 918 635  Q 885 635 862 655  T 840 709  Q 840 758 874 791  T 958 825  Q 938 852 897 852  Q 836 852 779 817  T 657 716  T 538 596  T 438 514  Q 559 500 648 450  T 737 299  Q 737 278 729 246  Q 711 169 711 123  Q 711 31 774 31  Q 848 31 886 112  T 950 301  Q 954 313 967 313  H 991  Q 999 313 1004 308  T 1010 295  Q 1010 293 1008 289  Q 931 -23 770 -23  Q 712 -23 667 4  T 599 77  T 575 182  Q 575 215 584 250  Q 590 274 590 295  Q 590 374 520 415  T 360 465  L 256 47  Q 248 16 225 -4  T 172 -23  Q 146 -23 127 -6  T 109 37  Z "" transform=""matrix(0.48828, 0.00000, 0.00000, -0.48828, 2418.42554, 0.00000)""></path><path d=""M 133 -512  Q 115 -512 115 -494  Q 115 -485 119 -481  Q 469 -139 469 512  Q 469 1163 123 1501  Q 115 1506 115 1518  Q 115 1525 120 1530  T 133 1536  H 152  Q 158 1536 162 1532  Q 309 1416 407 1250  T 550 896  T 596 512  Q 596 367 571 226  T 493 -51  T 358 -303  T 162 -508  Q 158 -512 152 -512  H 133  Z "" transform=""matrix(0.48828, 0.00000, 0.00000, -0.48828, 2970.51660, 0.00000)""></path></g></svg> -contractive multi-valued mappings with some applications",,,,
Further generalization of fixed point theorems in Menger PM-spaces,,,,
COINCIDENCE AND COMMON FIXED POINTS FOR GENERALIZED CONTRACTION MULTI-VALUED MAPPINGS.,,,,
"Fixed point theorems for <svg aria-label=""F_\mathfrak {R}"" class=""gs_fsvg"" height=""14px"" style=""vertical-align:-4px;"" width=""23px""><g transform=""matrix(0.01700, 0.00000, 0.00000, 0.01700, 0.00000, 11.61100)""><g><path d=""M 96 0  Q 76 0 76 27  Q 77 32 80 44  T 88 64  T 102 72  Q 227 72 276 86  Q 303 95 315 141  L 596 1266  Q 600 1286 600 1294  Q 600 1316 575 1319  Q 537 1327 428 1327  Q 408 1327 408 1354  Q 409 1359 412 1371  T 420 1391  T 434 1399  H 1516  Q 1536 1399 1536 1372  L 1487 948  Q 1487 942 1480 936  T 1466 930  H 1448  Q 1427 930 1427 956  Q 1440 1049 1440 1108  Q 1440 1210 1396 1258  T 1285 1316  T 1100 1327  H 881  Q 825 1327 807 1317  T 774 1257  L 643 735  H 797  Q 873 735 920 743  T 998 774  T 1049 840  T 1087 956  Q 1093 975 1108 975  H 1126  Q 1147 975 1147 948  L 1022 442  Q 1013 424 1001 424  H 983  Q 963 424 963 451  Q 968 472 971 486  T 978 526  T 983 573  Q 983 632 931 648  T 795 664  H 627  L 494 133  Q 489 113 489 113  Q 489 89 504 86  Q 557 72 713 72  Q 733 72 733 45  Q 726 16 722 8  T 698 0  H 96  Z "" transform=""scale(0.48828, -0.48828)""></path><g transform=""translate(643.06000, 150.00000)""><g><path d=""M 154 -33  L 119 0  Q 299 217 414 217  Q 464 217 578 96  Q 671 148 724 220  T 801 371  T 831 537  T 838 752  Q 838 892 801 1012  Q 764 1127 675 1206  T 473 1286  Q 396 1286 328 1241  T 260 1122  Q 260 1055 367 948  Q 473 842 473 774  Q 473 697 397 626  T 225 502  L 178 535  Q 230 560 268 602  T 307 696  Q 307 721 213 840  Q 119 952 119 1001  Q 119 1107 197 1200  T 392 1349  T 614 1405  Q 741 1405 847 1325  T 995 1124  L 1004 1145  Q 1109 1264 1216 1334  T 1450 1405  Q 1540 1405 1577 1355  T 1628 1208  Q 1629 1200 1633 1157  T 1648 1092  T 1682 1061  T 1747 1051  Q 1779 1051 1817 1057  L 1839 1024  Q 1603 944 1403 795  Q 1506 795 1604 719  Q 1619 373 1638 315  Q 1640 311 1657 269  T 1689 201  T 1720 158  T 1757 141  Q 1767 141 1888 184  V 152  L 1591 -55  L 1450 184  Q 1456 277 1456 371  Q 1456 543 1414 620  T 1214 698  Q 1163 698 1014 666  L 1008 668  Q 971 397 850 227  Q 788 181 689 105  T 483 -55  Q 433 -7 391 23  T 319 53  Q 272 53 229 29  T 154 -33  Z M 1016 719  L 1227 795  Q 1543 942 1556 948  Q 1514 954 1493 968  T 1462 1004  T 1448 1054  T 1438 1122  Q 1413 1286 1309 1286  Q 1219 1286 1159 1215  T 1026 1014  L 1022 1008  Q 1026 950 1026 926  Q 1026 834 1016 719  Z "" transform=""scale(0.34180, -0.34180)""></path></g></g></g></g></svg>                                          F            R -contractions with applications to solution of nonlinear matrix equations",,,,
Fixed point results in b-metric spaces approach to the existence of a solution for nonlinear integral equations,,,,
Existence of a common solution for a system of nonlinear integral equations via fixed point methods in b-metric spaces,,,,
Common fixed point theorems for generalized cyclic contraction pairs in b-metric spaces with applications,,,,
Coupled fixed point results for nonlinear integral equations,,,,
On new stability results for generalized Cauchy functional equations on groups by using Brzdȩk’s fixed point theorem,,,,
On sufficient conditions for the existence of past-present-future dependent fixed point in the Razumikhin class and application,,,,
Common solution of Urysohn integral equations with the help of common fixed point results in complex valued metric spaces,,,,
A new contractive condition approach to φ-fixed point results in metric spaces and its applications,,,,
Ulam-Hyers stability and well-posedness of fixed point problems for α-λ-contraction mapping in metric spaces,,,,
On new evolution of Ri’s result via w-distances and the study on the solution for nonlinear integral equations and fractional differential equations,,,,
Common property (EA) and existence of fixed points in Menger spaces,,,,
The existence of optimal approximate solution theorems for generalized alpha-proximal contraction non-self mappings and applications,,,,
Common fixed point theorems for Geraghty’s type contraction mappings using the monotone property with two metrics,,,,
Common random fixed points for multivalued random operators without S-and T-weakly commuting random operators,,,,
A new class of fuzzy contractive mappings and fixed point theorems,,,,
The upper bound estimation for the spectral norm of r-circulant and symmetric r-circulant matrices with the Padovan sequence,,,,
"A new approach to α-ψ-contractive mappings and generalized Ulam-Hyers stability, well-posedness and limit shadowing results",,,,
Fixed point theorems for generalized w α-contraction multivalued mappings in α-complete metric spaces,,,,
Fuzzy fixed point theorems for fuzzy mappings via β-admissible with applications,,,,
Some fixed point results in modified intuitionistic fuzzy metric spaces,,,,
Ulam-Hyers stability and well-posedness of fixed point problems for--contraction mapping in metric spaces,,,,
Fixed point and common fixed point theorems for cyclic quasi-contractions in metric and ultrametric spaces,,,,
"Common fixed point theorems for generalized&lt; a onClick="" popup ('http://www. fixedpointtheoryandapplications. com/content/2012/1/93/mathml/M147','MathML', 630,470); return …",,,,
Common Fixed Point of Two-Weakly Commuting Mappings in-Metric Spaces,,,,
The existence and uniqueness of the solution for nonlinear Fredholm and Volterra integral equations together with nonlinear fractional differential equations via w-distances,,,,
Fixed point analysis for multi-valued operators with graph approach by the generalized Hausdorff distance,,,,
Optimal solutions for nonlinear proximal CN-contraction mapping in metric space,,,,
"Generalized Ulam-Hyers stability, well-posedness and limit shadowing of fixed point problems for--contraction mapping in metric spaces",,,,
Fixed point theorems for orthogonal F-contraction mappings on O-complete metric spaces,,,,
A note on the generalised hyperstability of the general linear equation,,,,
"Fixed point theorems in orbitally <svg aria-label=""0"" class=""gs_fsvg"" height=""12px"" style=""vertical-align:-1px;"" width=""9px""><g transform=""matrix(0.01700, 0.00000, 0.00000, 0.01700, 0.00000, 11.32200)""><path d=""M 512 -45  Q 261 -45 170 161  T 80 653  Q 80 831 112 988  T 241 1254  T 512 1364  Q 647 1364 733 1298  T 864 1127  T 925 903  T 942 653  Q 942 477 909 323  T 782 62  T 512 -45  Z M 512 8  Q 626 8 682 125  T 751 384  T 764 686  Q 764 840 751 970  T 682 1205  T 512 1311  Q 396 1311 340 1205  T 271 969  T 258 686  Q 258 572 263 471  T 293 262  T 370 81  T 512 8  Z "" transform=""scale(0.48828, -0.48828)""></path></g></svg>                                          0 -complete partial metric spaces via rational contractive conditions",,,,
"On modified <svg aria-label=""\mathcal {Z}"" class=""gs_fsvg"" height=""12px"" style=""vertical-align:-1px;"" width=""15px""><g transform=""matrix(0.01700, 0.00000, 0.00000, 0.01700, 0.00000, 11.61100)""><g><path d=""M 88 0  Q 74 0 74 14  Q 74 21 82 33  Q 95 52 121 75  T 174 120  T 227 164  Q 307 231 463 371  Q 650 539 831 715  H 612  Q 594 726 594 737  Q 594 764 629 785  T 696 811  H 928  Q 1037 920 1131 1022  T 1305 1219  L 1300 1217  L 1278 1214  Q 1270 1212 1255 1212  H 1243  Q 1163 1212 1015 1238  T 780 1266  Q 701 1266 658 1238  T 596 1139  Q 581 1101 520 1066  T 416 1026  H 403  Q 389 1026 389 1040  Q 389 1042 391 1047  Q 414 1141 507 1223  T 720 1352  T 940 1399  H 952  Q 1009 1399 1059 1392  T 1168 1376  T 1297 1356  T 1423 1346  Q 1487 1391 1546 1399  H 1559  Q 1565 1399 1569 1394  T 1573 1384  Q 1573 1368 1502 1285  T 1325 1090  T 1155 910  T 1059 811  Q 1095 811 1130 807  T 1195 788  T 1225 745  Q 1225 709 1192 687  T 1122 662  H 1110  Q 1094 674 1094 682  V 690  Q 1093 692 1092 693  T 1090 696  Q 1058 711 961 715  Q 675 438 375 180  Q 389 182 400 183  T 420 185  T 444 186  H 457  Q 537 186 625 178  T 781 162  T 948 144  T 1133 133  Q 1163 133 1197 202  T 1243 319  Q 1253 345 1285 370  T 1355 412  T 1423 432  H 1436  Q 1448 432 1448 420  V 412  Q 1405 249 1270 129  Q 1110 0 975 0  H 963  Q 882 0 834 4  T 662 22  T 446 44  T 285 53  Q 252 53 232 47  T 170 22  T 100 0  H 88  Z "" transform=""scale(0.48828, -0.48828)""></path></g></g></svg>                              Z -contractions and an iterative scheme for solving nonlinear matrix equations",,,,
Stability of the generalized logarithmic functional equations arising from fixed point theory,,,,
Fixed point and multidimensional fixed point theorems with applications to nonlinear matrix equations in terms of weak altering distance functions,,,,
"The (           α           ,           β           )                            <svg aria-label=""(\alpha, \beta)"" class=""gs_fsvg"" height=""17px"" style=""vertical-align:-5px;"" width=""42px""><g transform=""matrix(0.01700, 0.00000, 0.00000, 0.01700, 0.00000, 12.75000)""><path d=""M 635 -508  Q 521 -418 438 -302  T 303 -53  T 225 223  T 199 512  Q 199 659 225 803  T 304 1080  T 441 1329  T 635 1532  Q 635 1536 645 1536  H 664  Q 670 1536 675 1530  T 680 1518  Q 680 1509 676 1505  Q 576 1407 509 1295  T 402 1056  T 344 794  T 326 512  Q 326 -139 674 -477  Q 680 -483 680 -494  Q 680 -499 674 -506  T 664 -512  H 645  Q 635 -512 635 -508  Z "" transform=""scale(0.48828, -0.48828)""></path><path d=""M 412 -23  Q 315 -23 239 23  T 123 147  T 82 324  Q 82 463 159 599  T 365 820  T 635 905  Q 739 905 818 850  T 938 705  T 979 512  L 981 375  Q 1051 472 1099 576  T 1174 793  Q 1178 805 1190 805  H 1214  Q 1233 805 1233 786  Q 1233 784 1231 780  Q 1207 686 1171 599  T 1086 432  T 981 285  Q 981 31 1040 31  Q 1078 31 1102 53  T 1145 109  T 1169 143  H 1194  Q 1210 143 1210 123  Q 1210 72 1151 24  T 1036 -23  Q 962 -23 913 25  T 846 150  Q 750 68 638 22  T 412 -23  Z M 416 31  Q 635 31 836 211  Q 835 223 833 240  T 831 260  V 481  Q 831 852 631 852  Q 511 852 421 749  T 285 504  T 240 244  Q 240 155 285 93  T 416 31  Z "" transform=""matrix(0.48828, 0.00000, 0.00000, -0.48828, 388.89001, 0.00000)""></path><path d=""M 203 -369  Q 203 -360 211 -352  Q 285 -281 326 -188  T 367 8  V 33  Q 334 0 285 0  Q 238 0 205 33  T 172 113  Q 172 161 205 193  T 285 225  Q 358 225 389 157  T 420 8  Q 420 -106 374 -209  T 246 -393  Q 238 -397 233 -397  Q 223 -397 213 -388  T 203 -369  Z "" transform=""matrix(0.48828, 0.00000, 0.00000, -0.48828, 1032.31201, 0.00000)""></path><path d=""M 55 -397  Q 49 -397 44 -390  T 39 -377  L 354 889  Q 381 991 433 1087  T 563 1265  T 736 1396  T 936 1444  Q 1012 1444 1073 1410  T 1170 1316  T 1206 1180  Q 1206 1107 1178 1040  T 1100 916  T 993 823  Q 1026 802 1052 769  T 1094 701  T 1119 622  T 1128 541  Q 1128 436 1083 334  T 960 149  T 783 17  T 578 -31  Q 463 -31 371 32  T 244 203  L 96 -385  Q 96 -397 80 -397  H 55  Z M 582 25  Q 674 25 748 85  T 871 237  T 945 431  T 971 618  Q 971 722 911 782  Q 841 756 774 756  Q 612 756 612 811  Q 612 883 797 883  Q 863 883 918 862  Q 962 896 998 962  T 1052 1100  T 1071 1235  Q 1071 1302 1035 1346  T 932 1391  Q 807 1391 699 1314  T 518 1119  T 412 877  L 299 424  Q 288 377 285 319  Q 285 191 369 108  T 582 25  Z M 674 817  Q 705 809 776 809  Q 811 809 846 821  Q 844 823 838 823  Q 816 829 791 829  Q 698 829 674 817  Z "" transform=""matrix(0.48828, 0.00000, 0.00000, -0.48828, 1476.75916, 0.00000)""></path><path d=""M 133 -512  Q 115 -512 115 -494  Q 115 -485 119 -481  Q 469 -139 469 512  Q 469 1163 123 1501  Q 115 1506 115 1518  Q 115 1525 120 1530  T 133 1536  H 152  Q 158 1536 162 1532  Q 309 1416 407 1250  T 550 896  T 596 512  Q 596 367 571 226  T 493 -51  T 358 -303  T 162 -508  Q 158 -512 152 -512  H 133  Z "" transform=""matrix(0.48828, 0.00000, 0.00000, -0.48828, 2095.14722, 0.00000)""></path></g></svg> -generalized convex contractive condition with approximate fixed point results and some consequence",,,,
"Optimal Approximate Solution for <svg aria-label=""\alpha "" class=""gs_fsvg"" height=""8px"" style=""vertical-align:-1px;"" width=""11px""><g transform=""matrix(0.01700, 0.00000, 0.00000, 0.01700, 0.00000, 7.51400)""><path d=""M 412 -23  Q 315 -23 239 23  T 123 147  T 82 324  Q 82 463 159 599  T 365 820  T 635 905  Q 739 905 818 850  T 938 705  T 979 512  L 981 375  Q 1051 472 1099 576  T 1174 793  Q 1178 805 1190 805  H 1214  Q 1233 805 1233 786  Q 1233 784 1231 780  Q 1207 686 1171 599  T 1086 432  T 981 285  Q 981 31 1040 31  Q 1078 31 1102 53  T 1145 109  T 1169 143  H 1194  Q 1210 143 1210 123  Q 1210 72 1151 24  T 1036 -23  Q 962 -23 913 25  T 846 150  Q 750 68 638 22  T 412 -23  Z M 416 31  Q 635 31 836 211  Q 835 223 833 240  T 831 260  V 481  Q 831 852 631 852  Q 511 852 421 749  T 285 504  T 240 244  Q 240 155 285 93  T 416 31  Z "" transform=""scale(0.48828, -0.48828)""></path></g></svg>-Multiplicative Proximal Contraction Mappings in Multiplicative Metric Spaces",,,,
Fixed point theorems for partial α-ψ contractive mappings in generalized metric spaces,,,,
Mizoguchi-Takahashi’s type common fixed point theorems without T-weakly commuting condition and invariant approximations,,,,
Hybrid coincidence and common fixed point theorems in Menger probabilistic metric spaces under a strict contractive condition with an application,,,,
Fixed point of Suzuki-Zamfirescu hybrid contractions in partial metric spaces via partial Hausdorff metric,,,,
On the solution existence of variational-like inequalities problems for weakly relaxed monotone mapping,,,,
Mixed equilibrium problems with weakly relaxed α-monotone bifunction in Banach spaces,,,,
On solving nonlinear matrix equations in terms of b-simulation functions in b-metric spaces with numerical solutions,,,,
On the spectral norms of r-circulant matrices with the padovan and perrin sequences,,,,
An approach to the existence and uniqueness of fixed point results in $${\varvec {b}} $$ b-metric spaces via $${\varvec {s}} $$ s-simulation functions,,,,
Extension of almost generalized weakly contractive mappings in rectangular b-metric spaces and fixed point results,,,,
"Ulam-Hyers stability, well-posedness and limit shadowing property of the fixed point problems in M-metric spaces",,,,
On analytic model for two-choice behavior of the paradise fish based on the fixed point method,,,,
Partial answers of the Asadi et al.’s open question on M-metric spaces with numerical results,,,,
Two new generalised hyperstability results for the Drygas functional equation,,,,
Unified fixed point theorems for mappings in fuzzy metric spaces via implicit relations,,,,
The existence and convergence of best proximity points for generalized proximal contraction mappings,,,,
On fixed points of alpha-eta-psi-contractive multifunctions,,,,
Some Integral Type Fixed Point Theorems for Non-Self-Mappings Satisfying Generalized-Weak Contractive Conditions in Symmetric Spaces,,,,
An improvement of recent results in M-metric spaces with numerical results,,,,
The existence and uniqueness of the solution for nonlinear Fredholm and Volterra integral equations via adapting-ceiling distances,,,,
A new iterative scheme for numerical reckoning fixed points of total asymptotically nonexpansive mappings,,,,
Some fixed point results for weakly isotone mappings in ordered Banach spaces,,,,
On new existence of a unique common solution to a pair of non-linear matrix equations,,,,
An investigation of the common solutions for coupled systems of functional equations arising in dynamic programming,,,,
Toward a generalized contractive condition in partial metric spaces with the existence results of fixed points and best proximity points,,,,
On new existence theorems of common solutions for the system of functional equations in dynamic programming using the new type of common limit range property,,,,
Banach’s Contraction Principle for Nonlinear Contraction Mappings in Modular Metric Spaces,,,,
"On the weakly (α, ψ, ξ)-contractive condition for multi-valued operators in metric spaces and related fixed point results",,,,
Common Fixed Point Theorems in Intuitionistic Fuzzy Metric Spaces using concept of Occasionally Weakly Compatible Self Mappings,,,,
Fixed points of converse commuting mappings using an implicit relation,,,,
Fixed Point Theory and Applications,,,,
"Weak condition for generalized multi-valued&lt; a onClick="" popup ('http://www. journalofinequalitiesandapplications. com/content/2012/1/263/mathml/M267','MathML', 630,470 …",,,,
Fixed Point Results for Orthogonal Z-Contraction Mappings in O-Complete Metric Spaces,,,,
On new approximations for generalized Cauchy functional equations using Brzdęk and Ciepliński’s fixed point theorems in 2-Banach spaces,,,,
On Novel Common Fixed Point Results for Enriched Nonexpansive Semigroups,,,,
On new existence and uniqueness results concerning solutions to nonlinear Fredholm integral equations via w-distances and weak altering distance functions,,,,
On generalized Ri’s contraction mappings and its applications,,,,
THE MODIFIED PICARD-FB ITERATIVE ALGORITHM FOR APPROXIMATING THE FIXED POINTS OF CONDITIONAL QUASI-CONTRACTIVE MAPPINGS IN CONVEX METRIC SPACES AND ITS RATE OF CONVERGENCE,,,,
The existence theorem for a solution of a system of integral equations along with cyclical common fixed point technique,,,,
On the existence results of the solutions for nonlinear integral equations and fractional differential equations via mw-distances and adapting-ceiling distances,,,,
An Iterative Process for Solving Fixed Point Problems for Weak Contraction Mappings,,,,
Best proximity point theorems for generalized Mizoguchi-Takahashi′ s contraction pairs,,,,
Fixed Point Theory in b-Metric Spaces,,,,
New algorithm for finding the solution of nonlinear matrix equations based on the weak condition with relation-theoretic F-contractions,,,,
The New Hybrid Iterative Algorithm for Numerical Reckoning Fixed Points of Suzuki's Generalized Nonexpansive Mappings with Numerical Experiments,,,,
On New-Fixed Point Results for-Contractions in Complete Metric Spaces with Applications,,,,
Analytical Meir–Keeler type contraction mappings and equivalent characterizations,,,,
Stability of Euler–Lagrange-Type Cubic Functional Equations in Quasi-Banach Spaces,,,,
On the Existence and Uniqueness of the Solution of a Probabilistic Functional Equation Approached by the Banach Fixed Point Theorem,,,,
A New Integer Programming Model for Solving a School Bus Routing Problem with the Student Assignment,,,,
A New Initial Basis for Solving the Blending Problem Without Using Artificial Variables,,,,
A numerical algorithm for approximation of the solutions of nonlinear matrix equations with the relation-theoretic contractions.,,,,
"Corrigendum: On analytic model for two-choice behavior of the paradise fish based on the fixed point method, J. Fixed Point Theory Appl. 2019, 21: 56",,,,
On the solutions of the two preys and one predator type model approached by the fixed point theory,,,,
Existence and convergence theorems concerning common fixed points of nonlinear semigroups of weak contractions,,,,
On a solution of the probabilistic predator–prey model approached by the fixed point methods,,,,
"The Stability of an Additive-Quartic Functional Equation in Quasi-<svg aria-label=""\beta"" class=""gs_fsvg"" height=""15px"" style=""vertical-align:-4px;"" width=""11px""><g transform=""matrix(0.01700, 0.00000, 0.00000, 0.01700, 0.00000, 11.98500)""><path d=""M 55 -397  Q 49 -397 44 -390  T 39 -377  L 354 889  Q 381 991 433 1087  T 563 1265  T 736 1396  T 936 1444  Q 1012 1444 1073 1410  T 1170 1316  T 1206 1180  Q 1206 1107 1178 1040  T 1100 916  T 993 823  Q 1026 802 1052 769  T 1094 701  T 1119 622  T 1128 541  Q 1128 436 1083 334  T 960 149  T 783 17  T 578 -31  Q 463 -31 371 32  T 244 203  L 96 -385  Q 96 -397 80 -397  H 55  Z M 582 25  Q 674 25 748 85  T 871 237  T 945 431  T 971 618  Q 971 722 911 782  Q 841 756 774 756  Q 612 756 612 811  Q 612 883 797 883  Q 863 883 918 862  Q 962 896 998 962  T 1052 1100  T 1071 1235  Q 1071 1302 1035 1346  T 932 1391  Q 807 1391 699 1314  T 518 1119  T 412 877  L 299 424  Q 288 377 285 319  Q 285 191 369 108  T 582 25  Z M 674 817  Q 705 809 776 809  Q 811 809 846 821  Q 844 823 838 823  Q 816 829 791 829  Q 698 829 674 817  Z "" transform=""scale(0.48828, -0.48828)""></path></g></svg>-Normed Spaces with the Fixed Point Alternative",,,,
On the solution of the traumatic avoidance learning model approached by the Banach fixed point theorem,,,,
Discussion on relation-theoretic for JS-quasi-contractions of uni/multi-dimensional mappings with the transitivity,,,,
Hyperstability results for generalized p-radical functional equations in non-Archimedean Banach spaces with the secret key in the client-server environment,,,,
Journal metrics,,,,
"Generalized Ulam-Hyers Stability, Well-Posedness and Limit Shadowing of a Fixed Point Problem for Chatterjea Contractive Mappings in <svg aria-label=""M"" class=""gs_fsvg"" height=""12px"" style=""vertical-align:-1px;"" width=""18px""><g transform=""matrix(0.01700, 0.00000, 0.00000, 0.01700, 0.00000, 11.61100)""><path d=""M 104 0  Q 84 0 84 27  Q 85 32 88 44  T 96 64  T 111 72  Q 306 72 338 197  L 604 1266  Q 608 1286 608 1294  Q 608 1316 584 1319  Q 545 1327 436 1327  Q 416 1327 416 1354  Q 417 1359 420 1371  T 428 1391  T 442 1399  H 803  Q 826 1399 829 1376  L 989 203  L 1735 1376  Q 1749 1399 1774 1399  H 2122  Q 2142 1399 2142 1372  Q 2141 1367 2138 1354  T 2129 1334  T 2116 1327  Q 1991 1327 1942 1313  Q 1915 1304 1903 1257  L 1622 133  Q 1618 113 1618 104  Q 1618 96 1620 90  T 1627 83  T 1642 80  Q 1681 72 1790 72  Q 1810 72 1810 45  Q 1803 16 1799 8  T 1776 0  H 1241  Q 1221 0 1221 27  Q 1222 32 1225 44  T 1233 64  T 1247 72  Q 1372 72 1421 86  Q 1448 95 1460 141  L 1755 1327  L 928 23  Q 916 0 887 0  Q 861 0 858 23  L 684 1311  L 403 188  Q 401 183 400 175  T 397 158  Q 397 105 443 88  T 557 72  Q 578 72 578 45  Q 571 18 566 9  T 543 0  H 104  Z "" transform=""scale(0.48828, -0.48828)""></path></g></svg>-Metric Spaces",,,,
